행정구역별(읍면동),2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명)
서울,9472127,4584251,4887876,9125047,4421687,4703360,9417469,4547051,4870418,9056522,4381802,4674720,9384512,4523958,4860554,9018373,4357962,4660411
부산,3324335,1624745,1699590,3271001,1596087,1674914,3295760,1608947,1686813,3239787,1578621,1661166,3279604,1600281,1679323,3216548,1565303,1651245
대구,2387911,1177420,1210491,2350955,1158350,1192605,2366852,1165698,1201154,2328003,1145462,1182541,2379188,1170854,1208334,2335997,1147899,1188098
인천,2957044,1482202,1474842,2856665,1427672,1428993,2989125,1499105,1490020,2878924,1438975,1439949,3025950,1518154,1507796,2903900,1450848,1453052
광주,1475262,732088,743174,1444765,716048,728717,1468972,728859,740113,1436109,711350,724759,1457090,722226,734864,1421816,703206,718610
대전,1479740,740481,739259,1456477,730007,726470,1473662,737127,736535,1447379,725095,722284,1470336,735804,734532,1440902,722241,718661
울산,1120753,578207,542546,1095365,563428,531937,1110516,573080,537436,1084164,557386,526778,1107432,573506,533926,1075762,553006,522756
세종,366227,183616,182611,359236,179460,179776,382589,192165,190424,375392,187982,187410,386261,193999,192262,378454,189304,189150
경기수원,1208337,609383,598954,1154352,581519,572833,1216349,613879,602470,1160108,585103,575005,1226362,617941,608421,1167816,588288,579528
경기성남,913482,451948,461534,889568,440440,449128,904690,447581,457109,880256,435773,444483,903116,446636,456480,877738,434402,443336
경기의정부,455454,223988,231466,448866,221045,227821,455128,223559,231569,448321,220479,227842,458966,225133,233833,451135,221609,229526
경기안양,538929,265951,272978,528599,260994,267605,540789,266817,273972,530406,261854,268552,537159,264884,272275,526506,259778,266728
경기부천,822635,406604,416031,782913,386819,396094,810142,400250,409892,768788,379671,389117,803512,396445,407067,759630,374635,384995
경기광명,290345,142943,147402,283852,139817,144035,284031,139684,144347,278246,136837,141409,275397,135115,140282,270415,132692,137723
경기평택,571838,299252,272586,538412,280448,257964,590205,310646,279559,555028,290723,264305,605678,319995,285683,568316,298533,269783
경기동두천,94912,47428,47484,90717,45103,45614,94142,47054,47088,89771,44578,45193,91301,45634,45667,86615,43064,43551
경기안산,718384,371177,347207,638456,326593,311863,715088,369635,345453,628601,321626,306975,709147,367287,341860,616876,315494,301382
경기고양,1049513,512695,536818,1031893,504082,527811,1044242,509353,534889,1026584,500620,525964,1047592,510547,537045,1028880,501155,527725
경기과천,65880,32483,33397,65497,32286,33211,73406,36168,37238,73002,35974,37028,76824,37778,39046,76414,37597,38817
경기구리,187798,92886,94912,185784,91939,93845,184114,90974,93140,182050,90000,92050,183048,90355,92693,180863,89324,91539
경기남양주,713549,354670,358879,703281,348943,354338,719886,357413,362473,709448,351554,357894,716123,355255,360868,704767,348778,355989
경기오산,242297,125462,116835,226244,117164,109080,242596,126049,116547,225850,117290,108560,243832,126949,116883,225802,117483,108319
경기시흥,554074,292143,261931,500680,261074,239606,557663,294555,263108,500970,261423,239547,568455,300544,267911,506354,264254,242100
경기군포,270443,133978,136465,260553,129035,131518,267750,132765,134985,257908,127849,130059,263939,130806,133133,253853,125766,128087
경기의왕,160115,79433,80682,158566,78703,79863,157318,77880,79438,155776,77169,78607,154788,76626,78162,153193,75870,77323
경기하남,305470,152495,152975,302001,150739,151262,315203,157092,158111,311650,155310,156340,320562,159393,161169,316857,157575,159282
경기용인,1067347,530349,536998,1042523,516763,525760,1064500,529758,534742,1038310,515469,522841,1066979,531634,535345,1039339,516113,523226
경기파주,475212,242580,232632,460533,232705,227828,490765,251118,239647,474681,240058,234623,495339,253755,241584,477497,241201,236296
경기이천,229321,119255,110066,219387,113519,105868,227193,118763,108430,216701,112685,104016,228695,120048,108647,215953,112417,103536
경기안성,203897,106850,97047,185978,95782,90196,208619,109080,99539,188399,96757,91642,210390,110425,99965,187941,96522,91419
