범죄대분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,5337,1481,925,1439,587,714,480,84,311,19,96,114,62,74,156,183,42,362,406,565,255,371,88,208,78,55,109,286,28,210,87,126,294,57,69,276,101,40,30,36,111,118,17,53,309,81,11,48,49,53,51,94,113,310,96,35,30,112,276,39,48,43,172,120,131,126,98,168,55,18,26,73,36,38,219,102,178,33,41,108,114,383,48,115,336,39,1361
교통범죄,43206,16160,16619,14459,11121,8963,7570,1220,5229,265,1377,3202,1463,900,3335,3402,499,5423,5434,7580,4597,5930,1752,2214,1395,926,1677,5453,808,2285,1797,2963,5715,1355,1600,5195,1369,523,417,684,2630,1810,259,897,5871,1558,96,766,567,1383,704,1172,2109,4929,1715,439,426,1554,3608,519,1043,692,2018,2037,2378,1470,1771,2999,872,395,649,1001,627,944,3500,1467,3444,728,821,2280,1551,4945,1019,1916,4266,204,24503
기타범죄,42198,20985,8181,16256,4750,4913,5525,965,3767,209,1102,1358,593,830,1955,2048,365,3560,4192,4900,2031,3168,971,1612,973,424,963,3610,388,1716,904,1467,6315,700,838,2920,2653,267,460,420,1221,1112,195,389,3101,615,55,378,450,563,710,643,965,2477,3324,201,223,919,2387,361,666,373,1459,886,1988,834,770,1334,492,190,270,520,262,360,3730,1039,2151,374,2724,1213,1110,4813,1834,1198,3033,4379,23339
노동범죄,78,12,22,9,6,12,2,2,3,0,0,2,0,2,1,1,0,6,4,4,13,6,0,0,2,9,0,1,1,3,2,4,1,0,2,6,3,0,0,0,1,1,0,0,4,0,0,0,5,3,0,1,1,5,2,1,0,0,1,0,0,0,5,6,3,3,5,1,1,0,0,1,0,1,6,2,6,1,2,2,2,22,1,10,44,3,35
마약범죄,2275,585,258,610,156,96,68,40,93,2,25,42,18,20,84,41,28,140,109,194,111,102,39,59,38,52,45,74,9,93,49,30,159,57,19,112,17,7,0,1,40,29,6,17,90,29,3,15,21,33,29,18,44,93,16,9,5,24,23,8,12,18,32,23,33,21,45,142,16,14,21,34,11,11,31,19,152,18,19,47,36,137,18,7,28,70,564
병역범죄,308,86,90,166,56,44,26,7,34,0,10,7,8,5,7,22,1,24,28,54,15,29,5,13,3,5,10,28,5,19,10,13,30,6,6,15,11,4,0,1,15,8,0,6,36,5,0,2,15,10,1,5,8,27,10,2,2,10,13,3,3,3,16,7,12,13,10,28,3,2,3,3,5,1,9,10,17,4,8,11,9,40,8,9,18,68,114
보건범죄,4573,2214,762,959,312,251,252,56,294,2,71,113,74,48,85,116,23,327,390,377,177,316,116,179,57,14,43,175,17,84,45,57,139,16,70,163,50,14,11,46,110,60,10,44,148,22,2,17,19,35,112,56,96,153,178,3,8,46,123,19,38,20,108,60,81,42,36,56,36,3,20,19,16,23,107,95,184,33,16,120,108,241,55,29,145,78,818
선거범죄,129,31,4,2,3,2,6,1,1,5,0,1,1,0,0,3,0,1,7,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,9,28
안보범죄,98,5,4,11,3,4,5,0,1,0,0,5,1,0,0,0,0,1,1,3,3,1,2,1,0,0,1,1,0,3,0,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0,3,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,6,14
절도범죄,33529,12667,9306,8175,4884,5044,3155,1043,2090,120,938,945,482,663,1392,1288,251,3030,2697,4201,1854,2638,709,1461,515,318,903,2242,172,1183,600,1093,1987,333,721,2040,732,226,178,267,1057,841,83,388,2973,636,65,278,421,506,272,541,1132,2726,1055,168,232,905,2111,443,385,399,1064,909,885,910,909,1699,392,137,275,415,182,359,2162,763,2573,249,365,1067,1857,3386,412,860,2194,38,8658
