범죄대분류,아파트-연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장-노점,숙박업소-목욕탕,유흥접객업소,사무실,공장,공사장-광산,창고,역-대합실,지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,3892,2710,11,3470,28,122,364,16,493,276,2861,3858,666,62,30,27,303,507,1344,97,240,224,27,396,73,59,12,18,13,2,233,143,61,1694
교통범죄,114,45,4154,342058,0,1,4,1,29,59,4,19,63,31,23,2,39,1,60,3,13,6,1,11,3,49,119,3,0,4,826,0,0,980
기타범죄,17930,15522,1267,43020,94,687,1925,68,3224,1548,2535,14713,23364,2210,1323,463,1919,197,1006,303,874,1493,264,2081,566,2842,24156,131,28,90,1673,212,1361,72740
노동범죄,8,8,0,23,0,0,1,0,4,1,3,53,98,13,7,0,1,0,9,0,0,1,0,2,1,2,14,0,1,0,0,0,0,106
마약범죄,883,1982,5,1771,4,4,52,0,139,36,849,221,207,67,1,3,54,5,174,3,17,3,221,350,3,336,0,1,0,4,104,31,11,1645
병역범죄,345,672,0,148,0,0,0,0,4,1,10,2,426,1,0,0,1,1,1,0,9,8,0,3,0,0,1,401,0,3,0,0,0,1808
보건범죄,1083,638,3,983,4,75,41,5,865,475,280,3975,1041,101,1,19,11,4,4,15,20,10,3,1161,76,60,287,0,0,2,22,0,64,3267
선거범죄,17,19,0,264,0,0,0,0,3,15,1,36,181,0,0,0,13,1,1,1,9,11,1,2,35,0,0,0,0,0,4,0,0,215
안보범죄,3,7,0,42,0,0,0,0,1,0,0,1,56,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,99
절도범죄,16697,10196,161,46861,2695,9273,5944,3065,13629,3951,4325,12641,3323,1264,1175,1068,1524,529,3767,486,1585,852,3660,1362,605,3536,94,12,4,58,10661,887,2051,11576
지능범죄,14856,19797,1325,60205,406,1086,2472,298,7239,2506,1828,23602,53461,1650,2297,212,2219,880,4964,285,1147,533,6602,2188,306,579,184,66,30,29,1851,1078,661,207800
특별경제범죄,1471,1068,31,4856,38,500,1424,59,2092,821,664,8417,7713,497,409,39,215,33,478,53,78,97,1068,791,82,117,11,2,0,4,216,2,127,14353
폭력범죄,41192,25308,394,97005,172,930,2368,155,3596,2851,4584,30762,6617,1284,1169,241,1309,529,3902,257,1876,968,266,2194,501,1953,214,73,43,44,12190,474,728,19619
풍속범죄,1884,1950,5,2287,30,67,102,24,291,213,791,736,2602,21,1,35,543,401,235,27,199,166,12,63,7,33,2,24,0,3,52,1025,246,8555
환경범죄,11,14,2,589,0,6,0,0,20,4,4,4,140,694,368,26,3,0,10,3,4,3,0,8,0,305,389,2,0,10,7,0,0,942
SUM,100386,79936,7358,603582,3471,12751,14697,3691,31629,12757,18739,99040,99958,7895,6804,2135,8156,3088,15955,1534,6071,4375,12128,10612,2259,9871,25483,733,119,253,27839,3852,5310,345399
