,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
아파트-연립다세대,3892,114,17930,8,883,345,1083,17,3,16697,14856,1471,41192,1884,11,100386
단독주택,2710,45,15522,8,1982,672,638,19,7,10196,19797,1068,25308,1950,14,79936
고속도로,11,4154,1267,0,5,0,3,0,0,161,1325,31,394,5,2,7358
노상,3470,342058,43020,23,1771,148,983,264,42,46861,60205,4856,97005,2287,589,603582
백화점,28,0,94,0,4,0,4,0,0,2695,406,38,172,30,0,3471
슈퍼마켓,122,1,687,0,4,0,75,0,0,9273,1086,500,930,67,6,12751
편의점,364,4,1925,1,52,0,41,0,0,5944,2472,1424,2368,102,0,14697
대형할인매장,16,1,68,0,0,0,5,0,0,3065,298,59,155,24,0,3691
상점,493,29,3224,4,139,4,865,3,1,13629,7239,2092,3596,291,20,31629
시장-노점,276,59,1548,1,36,1,475,15,0,3951,2506,821,2851,213,4,12757
숙박업소-목욕탕,2861,4,2535,3,849,10,280,1,0,4325,1828,664,4584,791,4,18739
유흥접객업소,3858,19,14713,53,221,2,3975,36,1,12641,23602,8417,30762,736,4,99040
사무실,666,63,23364,98,207,426,1041,181,56,3323,53461,7713,6617,2602,140,99958
공장,62,31,2210,13,67,1,101,0,0,1264,1650,497,1284,21,694,7895
공사장-광산,30,23,1323,7,1,0,1,0,0,1175,2297,409,1169,1,368,6804
창고,27,2,463,0,3,0,19,0,0,1068,212,39,241,35,26,2135
역-대합실,303,39,1919,1,54,1,11,13,2,1524,2219,215,1309,543,3,8156
지하철,507,1,197,0,5,1,4,1,0,529,880,33,529,401,0,3088
기타표통수단내,1344,60,1006,9,174,1,4,1,0,3767,4964,478,3902,235,10,15955
흥행장,97,3,303,0,3,0,15,1,1,486,285,53,257,27,3,1534
유원지,240,13,874,0,17,9,20,9,0,1585,1147,78,1876,199,4,6071
학교,224,6,1493,1,3,8,10,11,0,852,533,97,968,166,3,4375
금융기관,27,1,264,0,221,0,3,1,3,3660,6602,1068,266,12,0,12128
의료기관,396,11,2081,2,350,3,1161,2,0,1362,2188,791,2194,63,8,10612
종교기관,73,3,566,1,3,0,76,35,1,605,306,82,501,7,0,2259
산야,59,49,2842,2,336,0,60,0,0,3536,579,117,1953,33,305,9871
해상,12,119,24156,14,0,1,287,0,0,94,184,11,214,2,389,25483
부대,18,3,131,0,1,401,0,0,0,12,66,2,73,24,2,733
구금장소,13,0,28,1,0,0,0,0,0,4,30,0,43,0,0,119
공지,2,4,90,0,4,3,2,0,0,58,29,4,44,3,10,253
주차장,233,826,1673,0,104,0,22,4,0,10661,1851,216,12190,52,7,27839
공중화장실,143,0,212,0,31,0,0,0,0,887,1078,2,474,1025,0,3852
피씨방,61,0,1361,0,11,0,64,0,0,2051,661,127,728,246,0,5310
기타,1694,980,72740,106,1645,1808,3267,215,99,11576,207800,14353,19619,8555,942,345399
