범죄대분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,4176,2529,14,3810,35,106,319,14,480,210,2801,3176,684,67,23,24,329,722,1226,101,305,373,26,353,58,70,9,21,11,3,230,142,49,2458
교통범죄,106,37,7471,230183,0,2,3,0,48,53,7,14,76,10,21,1,10,4,62,3,6,6,0,7,1,51,64,0,0,3,692,0,0,2088
기타범죄,25525,16484,1195,48616,96,569,2150,82,2849,1400,2742,13059,19087,1542,1178,2130,4599,217,2972,344,896,2171,225,2112,413,2515,20344,325,32,72,2115,196,987,88725
노동범죄,2,1,1,26,0,0,3,0,5,2,2,37,124,14,6,0,0,0,10,1,0,0,0,3,0,6,277,0,0,0,0,0,0,194
마약범죄,1209,1938,6,1880,0,2,20,0,70,31,920,314,173,46,0,4,52,4,112,4,19,6,151,243,2,402,5,2,0,6,102,30,10,2568
병역범죄,317,411,0,212,0,0,0,0,21,3,22,0,352,2,0,0,5,0,2,1,6,15,0,7,0,0,0,405,0,1,0,0,0,2856
보건범죄,958,423,2,1337,0,33,54,1,851,419,159,7441,671,48,1,7,15,0,4,70,47,9,4,977,13,113,0,0,0,2,19,1,150,3920
선거범죄,79,76,0,999,0,2,1,1,7,19,3,71,527,0,0,1,12,2,2,6,20,27,1,1,17,1,0,0,0,0,10,1,0,1083
안보범죄,3,7,1,30,0,0,1,0,1,0,3,3,76,0,0,0,1,1,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,84
절도범죄,17196,8117,115,51945,2274,11703,6994,3536,17550,3927,2738,8323,2146,1123,1207,1010,1175,585,2924,426,1771,1250,2493,946,574,3362,46,15,4,52,10381,703,994,14665
지능범죄,12124,13091,999,68716,400,1167,3312,286,7725,1950,1455,18377,37098,1164,1673,156,2326,1047,3893,362,1319,578,2269,1712,234,432,150,111,30,26,2326,1072,433,217092
특별경제범죄,1407,943,23,4222,40,337,1331,52,2166,810,549,5888,6552,519,285,30,159,22,419,43,93,70,550,539,64,81,12,5,0,3,183,4,83,21131
폭력범죄,41558,23092,395,86637,181,768,2167,148,3530,2366,5015,22795,5479,1176,1146,204,1235,568,3821,258,1827,1553,249,1823,444,1866,125,110,50,35,11213,454,497,22501
풍속범죄,3629,2574,9,2294,21,49,80,17,257,157,633,488,1171,13,3,30,437,417,184,30,207,244,6,50,5,24,0,32,2,0,48,925,382,12695
환경범죄,12,19,2,628,0,0,0,1,33,8,6,4,111,581,270,17,12,0,146,8,5,3,0,9,0,204,183,0,0,15,2,0,0,1198
SUM,108301,69742,10233,501535,3047,14738,16435,4138,35593,11355,17055,79990,74327,6305,5813,3614,10367,3589,15778,1657,6521,6306,5977,8782,1828,9127,21215,1026,129,218,27321,3528,3585,393258
